日付,日本,アメリカ,原油,金
2025/06/24,38790.56,6092.18,73,306.19
2025/06/25,38942.07,6092.16,73.31,307.12
2025/06/26,39584.58,6141.02,73.59,306.78
2025/06/27,40150.79,6173.07,73.28,301.22
2025/06/30,40487.39,6204.95,73.11,304.83
2025/07/01,39986.33,6198.01,73.93,307.55
2025/07/02,39762.48,6227.42,75.59,309.25
2025/07/03,39785.9,6279.35,75.19,307.14
2025/07/04,39810.88,6279.35,75.19,307.14
2025/07/07,39587.68,6229.98,76.48,307.37
2025/07/08,39688.81,6225.52,76.96,304.16
2025/07/09,39821.28,6263.26,76.93,305.52
2025/07/10,39646.36,6280.46,75.39,306.2
2025/07/11,39569.68,6259.75,77.29,309.14
2025/07/14,39459.62,6268.56,75.62,308.01
2025/07/15,39678.02,6243.76,75.26,306.73
2025/07/16,39663.4,6263.7,75.19,308.26
2025/07/17,39901.19,6297.36,76.16,307.59
2025/07/18,39819.11,6296.79,75.93,308.39
2025/07/21,39819.11,6305.6,75.59,313.13
2025/07/22,39774.92,6309.62,75.35,316.1
2025/07/23,41171.32,6358.91,75.28,312.18
2025/07/24,41826.34,6363.35,76.09,310.27
2025/07/25,41456.23,6388.64,74.85,307.4
2025/07/28,40998.27,6389.77,77.17,305.41
2025/07/29,40674.55,6370.86,79.8,306.25
2025/07/30,40654.7,6362.9,81.04,300.96
2025/07/31,41069.82,6339.39,79.59,302.96
2025/08/01,40799.6,6238.01,77.46,309.11
2025/08/04,40290.7,6329.94,76.11,310.91
2025/08/05,40549.54,6299.19,75.02,311.16
2025/08/06,40794.86,6345.06,73.79,310.5
2025/08/07,41059.15,6340,73.42,313.12
2025/08/08,41820.48,6389.45,73.3,313.05
2025/08/11,41820.48,6373.45,73.8,308.55
2025/08/12,42718.17,6445.76,72.95,308.27
2025/08/13,43274.67,6466.58,72.46,309.21
2025/08/14,42649.26,6468.54,73.74,307.25
2025/08/15,43378.31,6449.8,72.8,307.43
2025/08/18,43714.31,6449.15,73.17,306.95
2025/08/19,43546.29,6411.37,72.3,305.27
2025/08/20,42888.55,6395.78,73.52,308.36
2025/08/21,42610.17,6370.17,74.13,307.29
2025/08/22,42633.29,6466.91,74.64,310.58
2025/08/25,42807.82,6439.32,75.75,309.83
2025/08/26,42394.4,6465.94,74.05,312.08
2025/08/27,42520.27,6481.4,74.68,312.71
2025/08/28,42828.79,6501.86,75.24,315.03
2025/08/29,42718.47,6460.26,74.84,318.07
2025/09/01,42188.79,6460.26,74.84,318.07
2025/09/02,42310.49,6415.54,76.76,325.59
2025/09/03,41938.89,6448.26,74.83,328.14
2025/09/04,42580.27,6502.08,74.18,326.69
2025/09/05,43018.75,6481.5,72.63,331.05
2025/09/08,43643.81,6495.15,73.04,334.82
2025/09/09,43459.29,6512.61,73.39,334.06
2025/09/10,43837.67,6532.04,74.71,335.26
2025/09/11,44372.5,6587.47,73,334.76
2025/09/12,44768.12,6584.29,73.31,335.42
2025/09/15,44768.12,6615.28,74.23,338.91
2025/09/16,44902.27,6606.76,75.67,339.59
2025/09/17,44790.38,6600.35,74.97,336.97
2025/09/18,45303.43,6631.96,74.69,335.62
2025/09/19,45045.81,6664.36,73.52,339.18
2025/09/22,45493.66,6693.75,73.45,345.05
2025/09/23,45493.66,6656.92,75.05,346.46
